title,subject,actual_price,actual,own_price_bin,own,meta
Elemental 11,5,675,0,1,0,0.1
Interval Series apolyo,5,9000,0,1,0,0.01
Galloping Horse Blur,5,1200,0,0,0,0.01
Squirrel Hole,5,85,0,0,0,0.01
Red Scarf,5,54000,1,1,0,0.01
Prelude,5,7500,0,1,0,0.01
Asleep,5,2500,0,2,1,0.5
muse 18,5,3750,0,2,1,0.5
scarlet,5,4000,0,1,0,0.5
Sinking Ship,5,902564,1,2,1,0.25
The town sonnets,5,950,0,3,1,0.75
The girl in red,5,950,0,1,0,0.2
Hotel Window,5,26896000,1,3,1,0.9
Botticelli e Filippino,5,7000,0,2,1,0.75
Ericksons,5,10344000,1,2,1,0.9
BLUE SELLY 2,5,3200,0,1,0,0.1
Censorship,5,7500,0,2,1,0.5
You are beautiful,5,2800,0,2,1,0.6
Portrait of the Artist and His Friends,5,2618925,1,1,0,0.5
HOW MUCH,5,25,0,1,0,0.5
Chorus,5,4800,0,2,1,0.5
Tender Nurse,5,2256000,1,1,0,0.1
Morning,5,1100,0,2,1,0.7
Moth,5,747825,1,2,1,0.5
Green Dress In Blue Space,5,4500,0,1,0,0.01
Falling Figure with Bird,5,1248000,1,2,1,0.5
Those Who Are Here Again,5,824000,1,1,0,0.1
Camel Driver,5,4500,0,1,0,0.2
Portrait-2,5,950,0,2,1,0.6
1304,5,6000,0,0,0,0.2
sleepy land,5,65,0,1,0,0.01
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,5,8000,0,1,0,0.01
Mapping the Soul,5,35,0,1,0,0.01
Bobs World,5,822400,1,1,0,0.2
Recompensa,5,980,0,1,0,0.1
High Society,5,968000,1,1,0,0.1
Jasmine,5,4200,0,1,0,0.1
A Question of Balance,5,950,0,1,0,0.01
Panic,5,75,0,1,0,0.2
under the sun,5,4800,0,2,1,0.25
abstract66,5,7500,0,0,0,0.01
White line melody,5,850,0,1,0,0.1
Lavender Mist,5,420000,1,1,0,0.1
Figure 4,5,17400000,1,1,0,0.1
Sharp Angle,5,350,0,2,1,0.1
Colorado River,5,192000,1,0,0,0.01
structure I,5,50,0,1,0,0.1
Self-Portrait as Goofy-Foot,5,744000,1,2,1,0.1
tree of life,5,9000,0,2,1,0.1
Flannan,5,936000,1,2,1,0.15
Calvary,5,850,0,1,0,0.01
RED CHANGER,5,9100,0,1,0,0.01
Samurai,5,85,0,2,1,0.5
Standing Male Nude in the Shower,5,1160000,1,1,0,0.1
Folly,5,1200,0,1,0,0.1
a place,5,60,0,1,0,0.1
Nude Aqua,5,70,0,1,0,0.1
Bruce Bernard,5,119556,1,2,1,0.6
Yellow spin,5,6000,0,1,0,0.15
The still life with the flowers,5,650,0,1,0,0.1
dance in the living room,5,8000,0,1,0,0.01
Birdie View II,5,1625,0,2,1,0.5
Rhythmic Structure,5,4500,0,2,1,0.2
Dilusion,5,750,0,3,1,0.5
On The Couch,6,700,0,0,0,0.1
conversation with spoonbill,6,50,0,0,0,0
Nu debout,6,689600,1,0,0,0
ramana,6,9600,0,0,0,0.05
Captives,6,779200,1,1,0,0.3
Intruder,6,20,0,0,0,0
Midsummer Night,6,650,0,0,0,0.1
Waiting for the rain,6,100,0,1,0,0.15
Flor,6,800,0,0,0,0.1
Red Irises,6,2500,0,1,0,0.2
celestial,6,1900,0,1,0,0.1
Amazing land,6,89,0,0,0,0
Lotus Rising,6,14400,0,0,0,0.1
Mandala No3,6,1500,0,0,0,0.05
Quality Material,6,4408000,1,1,0,0.1
It is my thing this Evening,6,4500,0,1,0,0.3
Untitled - P137,6,1810276,1,1,0,0.05
Canada Two Toronto,6,8550,0,1,0,0.5
Night,6,1384000,1,1,0,0.15
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",6,240000,1,0,0,0.05
Head and Bottle,6,6536000,1,0,0,0
Keep Me Safe,6,119556,1,1,0,0.1
Mouth #2,6,2168000,1,1,0,0.5
M-39,6,96000,1,1,0,0.25
Armenian Question,6,288000,1,1,0,0.2
Lip-biter,6,384000,1,2,1,0.45
Elemental 11,6,675,0,1,0,0.35
Interval Series apolyo,6,9000,0,1,0,0.3
Galloping Horse Blur,6,1200,0,0,0,0
Squirrel Hole,6,85,0,2,1,0.4
Red Scarf,6,54000,1,1,0,0.15
Prelude,6,7500,0,1,0,0.2
Asleep,6,2500,0,1,0,0.35
muse 18,6,3750,0,1,0,0.2
scarlet,6,4000,0,1,0,0.3
Sinking Ship,6,902564,1,1,0,0.2
The town sonnets,6,950,0,1,0,0.15
The girl in red,6,950,0,1,0,0.15
Hotel Window,6,26896000,1,2,1,0.9
Botticelli e Filippino,6,7000,0,2,1,0.65
Ericksons,6,10344000,1,3,1,0.8
BLUE SELLY 2,6,3200,0,1,0,0.15
Censorship,6,7500,0,2,1,0.75
You are beautiful,6,2800,0,1,0,0.3
Portrait of the Artist and His Friends,6,2618925,1,1,0,0.5
HOW MUCH,6,25,0,1,0,0.25
Chorus,6,4800,0,1,0,0.2
Tender Nurse,6,2256000,1,1,0,0.1
Morning,6,1100,0,1,0,0.3
Moth,6,747825,1,0,0,0.1
Green Dress In Blue Space,6,4500,0,1,0,0.25
Falling Figure with Bird,6,1248000,1,1,0,0.1
Those Who Are Here Again,6,824000,1,0,0,0.05
Camel Driver,6,4500,0,1,0,0.15
Portrait-2,6,950,0,1,0,0.25
1304,6,6000,0,1,0,0.35
sleepy land,6,65,0,0,0,0.05
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,6,8000,0,1,0,0.15
Mapping the Soul,6,35,0,1,0,0.1
Bobs World,6,822400,1,1,0,0.25
Recompensa,6,980,0,1,0,0.15
High Society,6,968000,1,1,0,0.2
Jasmine,6,4200,0,1,0,0.15
A Question of Balance,6,950,0,1,0,0.2
Panic,6,75,0,0,0,0.05
under the sun,6,4800,0,2,1,0.65
abstract66,6,7500,0,1,0,0.25
White line melody,6,850,0,1,0,0.15
Lavender Mist,6,420000,1,1,0,0.2
Figure 4,6,17400000,1,1,0,0.2
Sharp Angle,6,350,0,1,0,0.25
Colorado River,6,192000,1,1,0,0.15
structure I,6,50,0,1,0,0.2
Self-Portrait as Goofy-Foot,6,744000,1,0,0,0.1
tree of life,6,9000,0,0,0,0.1
