state,expt city,subject,own,meta,confidence,actual
Delaware,Wilmington,666,0,0.3,1,0
Delaware,Wilmington,a,1,0.8,0.8,0
Delaware,Wilmington,a2,1,0.9,0.85,0
Delaware,Wilmington,b2,1,0.8,1,0
Delaware,Wilmington,b3,0,0.4,0.5,0
Delaware,Wilmington,b4,1,0.5,0.5,0
Delaware,Wilmington,b5,0,0.83,0.9,0
Delaware,Wilmington,c1,0,0.5,0.8,0
Delaware,Wilmington,c2,1,0.4,0.5,0
Delaware,Wilmington,c3,1,0.9,0.8,0
Delaware,Wilmington,c4,0,0.3,1,0
Delaware,Wilmington,d10,0,0.5,0.5,0
Delaware,Wilmington,d2,0,0.5,1,0
Delaware,Wilmington,d3,1,0.6,0.8,0
Delaware,Wilmington,d6,1,0.7,0.5,0
Delaware,Wilmington,d6b,1,0.75,1,0
Delaware,Wilmington,d7,0,0.6,1,0
Delaware,Wilmington,d8,1,0.8,1,0
Delaware,Wilmington,d9,1,0.5,0.5,0
Florida,Jacksonville,52966,0,0.5,0.75,0
Florida,Jacksonville,sub1,1,0.6,0.7,0
Florida,Jacksonville,31720,0,0.35,1,0
Florida,Jacksonville,31828,0,0.5,1,0
Florida,Jacksonville,32008,0,0.8,1,0
Florida,Jacksonville,33550,0,0.8,0.5,0
Florida,Jacksonville,43924,0,0.4,0.5,0
Florida,Jacksonville,44383,1,0.7,0.6,0
Florida,Jacksonville,52807,0,0.44,1,0
Florida,Jacksonville,57337,1,0.5,0.9,0
Florida,Jacksonville,57346,1,1,1,0
Florida,Jacksonville,57394,0,0.05,1,0
Florida,Jacksonville,57427,1,0.5,0.7,0
Florida,Jacksonville,57436,0,0.3,1,0
Florida,Jacksonville,666,0,0.4,1,0
Florida,Jacksonville,a,0,0.1,1,0
Florida,Jacksonville,a2,0,0.7,1,0
Florida,Jacksonville,b2,1,0.75,1,0
Florida,Jacksonville,b3,1,0.7,0.7,0
Florida,Jacksonville,b4,0,0.3,0.9,0
Florida,Jacksonville,b5,0,0.85,1,0
Florida,Jacksonville,c1,0,0.1,1,0
Florida,Jacksonville,c2,1,0.7,1,0
Florida,Jacksonville,c3,1,0.7,1,0
Florida,Jacksonville,c4,0,0.25,0.8,0
Florida,Jacksonville,d10,0,0.3,0.85,0
Florida,Jacksonville,d2,0,0.5,1,0
Florida,Jacksonville,d3,1,0.6,0.9,0
Florida,Jacksonville,d6,0,0.1,1,0
Florida,Jacksonville,d6b,0,0.5,0.5,0
Florida,Jacksonville,d7,0,0.3,1,0
Florida,Jacksonville,d8,0,0.45,0.7,0
Florida,Jacksonville,d9,0,0.4,0.6,0
Georgia,Atlanta,52966,1,0.9,1,1
Georgia,Atlanta,sub1,1,0.7,0.6,1
Georgia,Atlanta,31720,1,0.9,1,1
Georgia,Atlanta,31828,1,0.5,1,1
Georgia,Atlanta,32008,1,0.9,0.8,1
Georgia,Atlanta,33550,1,1,1,1
Georgia,Atlanta,43924,1,0.8,0.8,1
Georgia,Atlanta,44383,1,0.6,0.7,1
Georgia,Atlanta,52807,1,0.77,0.88,1
Georgia,Atlanta,57337,1,0.9,0.8,1
Georgia,Atlanta,57346,1,1,1,1
Georgia,Atlanta,57394,1,0.8,0.8,1
Georgia,Atlanta,57427,1,0.75,0.5,1
Georgia,Atlanta,57436,1,0.7,1,1
Georgia,Atlanta,666,1,0.9,1,1
Georgia,Atlanta,a,1,0.97,1,1
Georgia,Atlanta,a2,1,0.95,0.95,1
Georgia,Atlanta,b2,1,0.85,1,1
Georgia,Atlanta,b3,0,0.1,1,1
Georgia,Atlanta,b4,1,0.9,1,1
Georgia,Atlanta,b5,1,1,1,1
Georgia,Atlanta,c1,1,0.85,0.9,1
Georgia,Atlanta,c2,1,0.8,0.7,1
Georgia,Atlanta,c3,1,1,1,1
Georgia,Atlanta,c4,1,0.9,0.8,1
Georgia,Atlanta,d10,1,0.9,0.9,1
Georgia,Atlanta,d2,0,0.5,0.6,1
Georgia,Atlanta,d3,1,0.8,1,1
Georgia,Atlanta,d6,1,0.9,1,1
Georgia,Atlanta,d6b,1,0.75,0.5,1
Georgia,Atlanta,d7,1,0.9,0.9,1
Georgia,Atlanta,d8,1,0.09,1,1
Georgia,Atlanta,d9,0,0.3,0.55,1
Hawaii,Honolulu,52966,1,0.75,1,1
Hawaii,Honolulu,sub1,1,0.9,0.9,1
Hawaii,Honolulu,31720,1,0.85,1,1
Hawaii,Honolulu,31828,0,0.5,1,1
Hawaii,Honolulu,32008,1,1,1,1
Hawaii,Honolulu,33550,1,1,1,1
Hawaii,Honolulu,43924,1,0.8,0.8,1
Hawaii,Honolulu,44383,1,0.7,0.8,1
Hawaii,Honolulu,52807,1,0.88,0.99,1
Hawaii,Honolulu,57337,1,0.95,1,1
Hawaii,Honolulu,57346,1,1,1,1
Hawaii,Honolulu,57394,1,0.9,1,1
Hawaii,Honolulu,57427,1,0.9,0.8,1
Hawaii,Honolulu,57436,1,0.95,1,1
Hawaii,Honolulu,666,1,0.8,1,1
Hawaii,Honolulu,a,1,0.98,1,1
Hawaii,Honolulu,a2,1,1,1,1
Hawaii,Honolulu,b2,1,0.9,0.8,1
Hawaii,Honolulu,b3,1,0.95,1,1
Hawaii,Honolulu,b4,1,0.8,0.8,1
Hawaii,Honolulu,b5,1,0.95,1,1
Hawaii,Honolulu,c1,1,0.85,1,1
Hawaii,Honolulu,c2,1,0.7,0.8,1
Hawaii,Honolulu,c3,1,0.9,0.9,1
Hawaii,Honolulu,c4,1,0.9,1,1
Hawaii,Honolulu,d10,1,0.9,0.9,1
Hawaii,Honolulu,d2,1,0.7,1,1
Hawaii,Honolulu,d3,1,0.9,1,1
Hawaii,Honolulu,d6,1,0.5,1,1
Hawaii,Honolulu,d6b,1,0.8,1,1
Hawaii,Honolulu,d7,1,0.8,0.9,1
Hawaii,Honolulu,d8,1,0.75,0.65,1
Hawaii,Honolulu,d9,1,0.8,0.8,1
Idaho,Boise,52966,1,0.5,0.6,1
Idaho,Boise,sub1,0,0.6,0.5,1
Idaho,Boise,31720,1,0.8,0.7,1
Idaho,Boise,31828,0,0.4,1,1
Idaho,Boise,32008,1,0.75,1,1
Idaho,Boise,33550,0,0.9,0.8,1
Idaho,Boise,43924,1,0.7,0.7,1
Idaho,Boise,44383,1,0.6,0.6,1
Idaho,Boise,52807,1,0.66,0.99,1
Idaho,Boise,57337,0,0.5,0.5,1
Idaho,Boise,57346,0,0.8,1,1
Idaho,Boise,57394,1,0.75,1,1
Idaho,Boise,57427,1,0.8,0.76,1
Idaho,Boise,57436,1,0.7,1,1
Idaho,Boise,666,1,0.7,1,1
Idaho,Boise,a,1,0.83,1,1
Idaho,Boise,a2,1,0.9,0.9,1
Idaho,Boise,b2,1,0.85,1,1
