title,subject,actual_price,actual,own_price_bin,own,meta
Recompensa,none-M1,980,0,2,1,0.75
High Society,none-M1,968000,1,2,1,0.6
Jasmine,none-M1,4200,0,0,0,0.5
A Question of Balance,none-M1,950,0,2,1,0.3
Panic,none-M1,75,0,1,0,0.5
under the sun,none-M1,4800,0,2,1,0.75
abstract66,none-M1,7500,0,2,1,0.5
White line melody,none-M1,850,0,1,0,0.7
Lavender Mist,none-M1,420000,1,2,1,0.75
Figure 4,none-M1,17400000,1,1,0,0.5
Sharp Angle,none-M1,350,0,1,0,0.4
Colorado River,none-M1,192000,1,2,1,0.5
structure I,none-M1,50,0,0,0,0.5
Self-Portrait as Goofy-Foot,none-M1,744000,1,0,0,0.5
tree of life,none-M1,9000,0,0,0,0.2
Flannan,none-M1,936000,1,2,1,0.75
Calvary,none-M1,850,0,2,1,0.5
RED CHANGER,none-M1,9100,0,3,1,0.75
Samurai,none-M1,85,0,2,1,0.4
Standing Male Nude in the Shower,none-M1,1160000,1,0,0,0.2
Folly,none-M1,1200,0,2,1,0.75
a place,none-M1,60,0,1,0,0.3
Nude Aqua,none-M1,70,0,2,1,0.2
Bruce Bernard,none-M1,119556,1,1,0,0.2
Yellow spin,none-M1,6000,0,0,0,0.3
The still life with the flowers,none-M1,650,0,2,1,0.6
dance in the living room,none-M1,8000,0,2,1,0.75
Birdie View II,none-M1,1625,0,2,1,0.8
Rhythmic Structure,none-M1,4500,0,1,0,0.5
Dilusion,none-M1,750,0,1,0,0.3
On The Couch,none-M2,700,0,1,0,0.01
conversation with spoonbill,none-M2,50,0,0,0,0.05
Nu debout,none-M2,689600,1,1,0,0.12
ramana,none-M2,9600,0,2,1,0.7
Captives,none-M2,779200,1,1,0,0.5
Intruder,none-M2,20,0,1,0,0.3
Midsummer Night,none-M2,650,0,1,0,0.1
Waiting for the rain,none-M2,100,0,0,0,0.05
Flor,none-M2,800,0,0,0,0
Red Irises,none-M2,2500,0,1,0,0.1
celestial,none-M2,1900,0,1,0,0.2
Amazing land,none-M2,89,0,1,0,0.4
Lotus Rising,none-M2,14400,0,2,1,0.75
Mandala No3,none-M2,1500,0,2,1,0.15
Quality Material,none-M2,4408000,1,1,0,0
It is my thing this Evening,none-M2,4500,0,0,0,0.1
Untitled - P137,none-M2,1810276,1,1,0,0.05
Canada Two Toronto,none-M2,8550,0,1,0,0.25
Night,none-M2,1384000,1,2,1,0.5
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",none-M2,240000,1,0,0,0.05
Head and Bottle,none-M2,6536000,1,1,0,0.3
Keep Me Safe,none-M2,119556,1,1,0,0.05
Mouth #2,none-M2,2168000,1,2,1,0.3
M-39,none-M2,96000,1,2,1,0.3
Armenian Question,none-M2,288000,1,1,0,0.2
Lip-biter,none-M2,384000,1,1,0,0.25
Elemental 11,none-M2,675,0,0,0,0.1
Interval Series apolyo,none-M2,9000,0,1,0,0.15
Galloping Horse Blur,none-M2,1200,0,1,0,0.3
Squirrel Hole,none-M2,85,0,1,0,0.05
Red Scarf,none-M2,54000,1,1,0,0.01
Prelude,none-M2,7500,0,1,0,0.45
Asleep,none-M2,2500,0,2,1,0.3
muse 18,none-M2,3750,0,1,0,0.4
scarlet,none-M2,4000,0,2,1,0.1
Sinking Ship,none-M2,902564,1,1,0,0.2
The town sonnets,none-M2,950,0,1,0,0.25
The girl in red,none-M2,950,0,2,1,0.05
Hotel Window,none-M2,26896000,1,2,1,0.05
Botticelli e Filippino,none-M2,7000,0,0,0,0.05
Ericksons,none-M2,10344000,1,1,0,0.15
BLUE SELLY 2,none-M2,3200,0,2,1,0.1
Censorship,none-M2,7500,0,2,1,0.55
You are beautiful,none-M2,2800,0,0,0,0.1
Portrait of the Artist and His Friends,none-M2,2618925,1,0,0,0
HOW MUCH,none-M2,25,0,0,0,0.05
Chorus,none-M2,4800,0,1,0,0.15
Tender Nurse,none-M2,2256000,1,1,0,0.1
Morning,none-M2,1100,0,2,1,0.2
Moth,none-M2,747825,1,3,1,0.2
Green Dress In Blue Space,none-M2,4500,0,1,0,0.08
Falling Figure with Bird,none-M2,1248000,1,2,1,0.3
Those Who Are Here Again,none-M2,824000,1,1,0,0.25
Camel Driver,none-M2,4500,0,1,0,0.3
Portrait-2,none-M2,950,0,1,0,0.1
1304,none-M2,6000,0,1,0,0.1
sleepy land,none-M2,65,0,1,0,0.05
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,none-M2,8000,0,1,0,0.05
Mapping the Soul,none-M2,35,0,0,0,0
Bobs World,none-M2,822400,1,2,1,0.55
Recompensa,none-M2,980,0,1,0,0.05
High Society,none-M2,968000,1,3,1,0.8
Jasmine,none-M2,4200,0,1,0,0.15
A Question of Balance,none-M2,950,0,1,0,0.05
Panic,none-M2,75,0,0,0,0
under the sun,none-M2,4800,0,1,0,0.3
abstract66,none-M2,7500,0,2,1,0.25
White line melody,none-M2,850,0,1,0,0.15
Lavender Mist,none-M2,420000,1,2,1,0.25
Figure 4,none-M2,17400000,1,2,1,0.55
Sharp Angle,none-M2,350,0,1,0,0.2
Colorado River,none-M2,192000,1,2,1,0.35
structure I,none-M2,50,0,0,0,0.05
Self-Portrait as Goofy-Foot,none-M2,744000,1,0,0,0.05
tree of life,none-M2,9000,0,2,1,0.4
Flannan,none-M2,936000,1,1,0,0.2
Calvary,none-M2,850,0,1,0,0.1
RED CHANGER,none-M2,9100,0,1,0,0.15
Samurai,none-M2,85,0,1,0,0.05
Standing Male Nude in the Shower,none-M2,1160000,1,1,0,0.13
Folly,none-M2,1200,0,0,0,0.1
a place,none-M2,60,0,0,0,0
Nude Aqua,none-M2,70,0,1,0,0.1
Bruce Bernard,none-M2,119556,1,1,0,0.07
Yellow spin,none-M2,6000,0,1,0,0.09
The still life with the flowers,none-M2,650,0,1,0,0.12
dance in the living room,none-M2,8000,0,1,0,0.1
Birdie View II,none-M2,1625,0,2,1,0.45
Rhythmic Structure,none-M2,4500,0,2,1,0.1
Dilusion,none-M2,750,0,2,1,0.3
On The Couch,PandaBear,700,0,0,0,0.15
conversation with spoonbill,PandaBear,50,0,0,0,0
Nu debout,PandaBear,689600,1,0,0,0.3
ramana,PandaBear,9600,0,1,0,0.1
Captives,PandaBear,779200,1,2,1,0.3
Intruder,PandaBear,20,0,0,0,0.5
Midsummer Night,PandaBear,650,0,1,0,0.5
Waiting for the rain,PandaBear,100,0,2,1,0.2
Flor,PandaBear,800,0,0,0,0.3
Red Irises,PandaBear,2500,0,1,0,0.1
celestial,PandaBear,1900,0,1,0,0.7
Amazing land,PandaBear,89,0,2,1,0.1
Lotus Rising,PandaBear,14400,0,0,0,0.3
Mandala No3,PandaBear,1500,0,1,0,0.02
Quality Material,PandaBear,4408000,1,2,1,0.25
It is my thing this Evening,PandaBear,4500,0,2,1,0.1
Untitled - P137,PandaBear,1810276,1,1,0,0.01
Canada Two Toronto,PandaBear,8550,0,0,0,0.1
Night,PandaBear,1384000,1,0,0,0.05
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",PandaBear,240000,1,2,1,0.2
Head and Bottle,PandaBear,6536000,1,0,0,0.05
Keep Me Safe,PandaBear,119556,1,1,0,0.35
Mouth #2,PandaBear,2168000,1,2,1,0.2
M-39,PandaBear,96000,1,3,1,0.5
Armenian Question,PandaBear,288000,1,1,0,0.3
Lip-biter,PandaBear,384000,1,0,0,0.5
Elemental 11,PandaBear,675,0,2,1,0.3
