state,expt city,subject,meta,own,actual
Florida,Jacksonville,11,0.6,1,0
Florida,Jacksonville,12,0.8,0,0
Florida,Jacksonville,13,0.3,1,0
Florida,Jacksonville,14,0.2,0,0
Florida,Jacksonville,15,0.65,0,0
Florida,Jacksonville,16,0.8,0,0
Florida,Jacksonville,17,0.4,1,0
Florida,Jacksonville,18,0.5,0,0
Florida,Jacksonville,19,0.6,0,0
Florida,Jacksonville,20,0.1,0,0
Florida,Jacksonville,21,0.5,0,0
Florida,Jacksonville,22,0.02,0,0
Florida,Jacksonville,23,0.25,0,0
Florida,Jacksonville,24,0.95,1,0
Florida,Jacksonville,25,0.6,0,0
Florida,Jacksonville,26,0.6,1,0
Florida,Jacksonville,27,0.3,1,0
Florida,Jacksonville,28,0.4,0,0
Florida,Jacksonville,29,0.5,1,0
Florida,Jacksonville,30,0.2,0,0
Florida,Jacksonville,31,0.6,0,0
Florida,Jacksonville,32,0.7,0,0
Florida,Jacksonville,33,0.4,0,0
Florida,Jacksonville,34,0.5,0,0
Florida,Jacksonville,35,0.7,0,0
Florida,Jacksonville,36,0.3,0,0
Florida,Jacksonville,37,0.7,0,0
Florida,Jacksonville,38,0.4,0,0
Florida,Jacksonville,39,0.7,1,0
Florida,Jacksonville,40,0.3,0,0
Florida,Jacksonville,41,0.2,0,0
Florida,Jacksonville,42,0.2,0,0
Florida,Jacksonville,43,0.1,1,0
Florida,Jacksonville,44,0.3,0,0
Florida,Jacksonville,45,0.7,0,0
Florida,Jacksonville,46,0.5,0,0
Florida,Jacksonville,47,0.9,1,0
Florida,Jacksonville,48,0.7,1,0
Florida,Jacksonville,49,0.5,0,0
Florida,Jacksonville,50,0.2,0,0
Florida,Jacksonville,51,0.2,0,0
Georgia,Atlanta,1,0.5,0,1
Georgia,Atlanta,2,0.7,1,1
Georgia,Atlanta,3,0.9,1,1
Georgia,Atlanta,4,0.7,0,1
Georgia,Atlanta,5,0.8,1,1
Georgia,Atlanta,6,0.5,1,1
Georgia,Atlanta,7,0.8,1,1
Georgia,Atlanta,8,0.95,1,1
Georgia,Atlanta,9,0.8,1,1
Georgia,Atlanta,10,0.4,0,1
Georgia,Atlanta,11,0.7,1,1
Georgia,Atlanta,12,0.9,1,1
Georgia,Atlanta,13,0.8,1,1
Georgia,Atlanta,14,0.6,0,1
Georgia,Atlanta,15,0.45,0,1
Georgia,Atlanta,16,0.85,1,1
Georgia,Atlanta,17,0.3,0,1
Georgia,Atlanta,18,0.9,1,1
Georgia,Atlanta,19,0.8,1,1
Georgia,Atlanta,20,0.7,0,1
Georgia,Atlanta,21,0.7,0,1
Georgia,Atlanta,22,0.9,1,1
Georgia,Atlanta,23,0.5,0,1
Georgia,Atlanta,24,0.95,1,1
Georgia,Atlanta,25,0.75,0,1
Georgia,Atlanta,26,0.6,0,1
Georgia,Atlanta,27,0.5,1,1
Georgia,Atlanta,28,0.7,0,1
Georgia,Atlanta,29,0.5,0,1
Georgia,Atlanta,30,0.85,1,1
Georgia,Atlanta,31,0.98,1,1
Georgia,Atlanta,32,0.7,1,1
Georgia,Atlanta,33,0.8,1,1
Georgia,Atlanta,34,0.5,0,1
Georgia,Atlanta,35,0.9,1,1
Georgia,Atlanta,36,0.8,1,1
Georgia,Atlanta,37,1,1,1
Georgia,Atlanta,38,0.7,1,1
Georgia,Atlanta,39,0.8,1,1
Georgia,Atlanta,40,0.8,1,1
Georgia,Atlanta,41,0.75,0,1
Georgia,Atlanta,42,0.9,1,1
Georgia,Atlanta,43,0.1,1,1
Georgia,Atlanta,44,0.75,1,1
Georgia,Atlanta,45,0.9,1,1
Georgia,Atlanta,46,0.75,1,1
Georgia,Atlanta,47,0.8,1,1
Georgia,Atlanta,48,0.7,1,1
Georgia,Atlanta,49,0.75,1,1
Georgia,Atlanta,50,0.8,1,1
Georgia,Atlanta,51,1,1,1
Hawaii,Honolulu,1,0.8,1,1
Hawaii,Honolulu,2,0.8,1,1
Hawaii,Honolulu,3,0.8,1,1
Hawaii,Honolulu,4,0.7,0,1
Hawaii,Honolulu,5,0.8,1,1
Hawaii,Honolulu,6,0.5,1,1
Hawaii,Honolulu,7,0.7,1,1
Hawaii,Honolulu,8,0.99,1,1
Hawaii,Honolulu,9,0.9,1,1
Hawaii,Honolulu,10,0.6,1,1
Hawaii,Honolulu,11,1,1,1
Hawaii,Honolulu,12,0.9,1,1
Hawaii,Honolulu,13,0.95,1,1
Hawaii,Honolulu,14,1,1,1
Hawaii,Honolulu,15,0.75,1,1
Hawaii,Honolulu,16,0.9,1,1
Hawaii,Honolulu,17,0.65,1,1
Hawaii,Honolulu,18,0.8,1,1
Hawaii,Honolulu,19,0.8,1,1
Hawaii,Honolulu,20,0.8,1,1
Hawaii,Honolulu,21,0.9,1,1
Hawaii,Honolulu,22,0.98,1,1
Hawaii,Honolulu,23,0.95,1,1
Hawaii,Honolulu,24,0.95,1,1
Hawaii,Honolulu,25,0.9,1,1
Hawaii,Honolulu,26,0.35,1,1
Hawaii,Honolulu,27,0.7,1,1
Hawaii,Honolulu,28,0.7,1,1
