state,expt city,subject,meta,own,actual
Idaho,Boise,82pk5x1,0.7,1,1
Idaho,Boise,93gb021,0.9,1,1
Idaho,Boise,80pf3x1,0.7,1,1
Idaho,Boise,78mt2x1,0.4,0,1
Idaho,Boise,772h2x1,0.75,1,1
Idaho,Boise,100hx091,0.95,1,1
Idaho,Boise,83er6x1,0.9,1,1
Idaho,Boise,107fk0x1,0.95,1,1
Idaho,Boise,65mlx1,0.75,1,1
Idaho,Boise,85jr8x1,0.5,0,1
Idaho,Boise,76m2x1,0.9,1,1
Idaho,Boise,63dv1x1,0.6,0,1
Idaho,Boise,103kd0x1,0.6,1,1
Idaho,Boise,742x1f2,0.75,1,1
Idaho,Boise,98pmr1,0.91,1,1
Idaho,Boise,75ch2x1,0.6,1,1
Idaho,Boise,64ps1x1,0.75,1,1
Idaho,Boise,84nr7x1,0.8,1,1
Idaho,Boise,86jr9x1,0.4,1,1
Idaho,Boise,680k5x1,0.7,1,1
Idaho,Boise,102ck1,0.5,0,1
Idaho,Boise,106L151,0.8,1,1
Idaho,Boise,60x03x1,0.5,1,1
Idaho,Boise,99tfix1,0.4,1,1
Idaho,Boise,72g2b1,0.7,1,1
Idaho,Boise,58xob1,0.75,0,1
Idaho,Boise,55xwx1,0.75,1,1
Idaho,Boise,123y2x1,0.7,1,1
Idaho,Boise,109m181,0.7,1,1
Idaho,Boise,122vzx1,0.8,0,1
Idaho,Boise,95dvx1,0.6,1,1
Idaho,Boise,71v2x1,0.5,1,1
Illinois,Chicago,82pk5x1,0.6,0,0
Illinois,Chicago,93gb021,1,1,0
Illinois,Chicago,80pf3x1,0.6,1,0
Illinois,Chicago,78mt2x1,0.4,1,0
Illinois,Chicago,772h2x1,0,0,0
Illinois,Chicago,100hx091,0.95,1,0
Illinois,Chicago,83er6x1,0.9,0,0
Illinois,Chicago,107fk0x1,0.75,1,0
Illinois,Chicago,65mlx1,1,1,0
Illinois,Chicago,85jr8x1,0,0,0
Illinois,Chicago,76m2x1,0.85,1,0
Illinois,Chicago,63dv1x1,0.8,1,0
Illinois,Chicago,103kd0x1,0.8,0,0
